[本金手指由SXCCE软件生成！本行无任何效果！]
[本金手指作者：revolution]
[贵石最大]
041F0000 122D407C 0098967f
[经验最大]
041F0000 122D4088 000f423f
[稀有石最大]
011F0000 122D4084 00000063
[武器基础攻击提升]
300E0000 00001F5F
01100000 12398A30 00000063
78000000 00000024
310E0000
20000000
[武器属性]
04100000 122D4098 0000270F
04100000 122D409A 0000270F
04100000 122D409C 0000270F
04100000 122D409E 0000270F
04100000 122D40A0 0000270F
04100000 122D40A2 0000270F
04100000 122D40A4 0000270F
04100000 122D40A6 0000270F
04100000 122D40A8 0000270F
04100000 122D40AA 0000270F
04100000 122D40AC 0000270F
04100000 122D40AE 0000270F
04100000 122D40B0 0000270F
04100000 122D40B2 0000270F
04100000 122D40B4 0000270F
04100000 122D40B6 0000270F
04100000 122D40B8 0000270F
04100000 122D40BA 0000270F
04100000 122D40BC 0000270F
04100000 122D40BE 0000270F
04100000 122D40C0 0000270F
04100000 122D40C2 0000270F
04100000 122D40C4 0000270F
04100000 122D40C6 0000270F
04100000 122D40C8 0000270F
04100000 122D40CA 0000270F
04100000 122D40CC 0000270F
04100000 122D40CE 0000270F
04100000 122D40D0 0000270F
04100000 122D40D2 0000270F
04100000 122D40D4 0000270F
04100000 122D40D6 0000270F
04100000 122D40D8 0000270F
04100000 122D40DA 0000270F
04100000 122D40DC 0000270F
04100000 122D40DE 0000270F
04100000 122D40E0 0000270F
04100000 122D40E2 0000270F
04100000 122D40E4 0000270F
04100000 122D40E6 0000270F
04100000 122D40E8 0000270F
04100000 122D40EA 0000270F
04100000 122D40EC 0000270F
04100000 122D40EE 0000270F
04100000 122D40F0 0000270F
04100000 122D40F2 0000270F
04100000 122D40F4 0000270F
04100000 122D40F6 0000270F
04100000 122D40F8 0000270F
04100000 122D40FA 0000270F
04100000 122D40FC 0000270F
04100000 122D40FE 0000270F
04100000 122D4100 0000270F
04100000 122D4102 0000270F
04100000 122D4104 0000270F
04100000 122D4106 0000270F
04100000 122D4108 0000270F
[武器炼成素材Max]
04100000 122D974E 000003E7
04100000 122D9750 000003E7
04100000 122D9752 000003E7
04100000 122D9754 000003E7
04100000 122D9756 000003E7
04100000 122D9758 000003E7
04100000 122D975A 000003E7
04100000 122D975C 000003E7
04100000 122D975E 000003E7
04100000 122D9760 000003E7
04100000 122D9762 000003E7
04100000 122D9764 000003E7
04100000 122D9766 000003E7
04100000 122D9768 000003E7
04100000 122D976A 000003E7
04100000 122D976C 000003E7
04100000 122D976E 000003E7
04100000 122D9770 000003E7
04100000 122D9772 000003E7
04100000 122D9774 000003E7
04100000 122D9776 000003E7
04100000 122D9778 000003E7
04100000 122D977A 000003E7
04100000 122D977C 000003E7
04100000 122D977E 000003E7
04100000 122D9780 000003E7
04100000 122D9782 000003E7
04100000 122D9784 000003E7
04100000 122D9786 000003E7
04100000 122D9788 000003E7
04100000 122D978A 000003E7
04100000 122D978C 000003E7
04100000 122D978E 000003E7
04100000 122D9790 000003E7
04100000 122D9792 000003E7
04100000 122D9794 000003E7
04100000 122D9796 000003E7
04100000 122D9798 000003E7
04100000 122D979A 000003E7
04100000 122D979C 000003E7
04100000 122D979E 000003E7
04100000 122D97A0 000003E7
04100000 122D97A2 000003E7
04100000 122D97A4 000003E7
04100000 122D97A6 000003E7
04100000 122D97A8 000003E7
04100000 122D97AA 000003E7
04100000 122D97AC 000003E7
04100000 122D97AE 000003E7
04100000 122D97B0 000003E7
04100000 122D97B2 000003E7
04100000 122D97B4 000003E7
04100000 122D97B6 000003E7
04100000 122D97B8 000003E7
04100000 122D97BA 000003E7
04100000 122D97BC 000003E7
04100000 122D97BE 000003E7
04100000 122D97C0 000003E7
04100000 122D97C2 000003E7
04100000 122D97C4 000003E7
04100000 122D97C6 000003E7
04100000 122D97C8 000003E7
04100000 122D97CA 000003E7
04100000 122D97CC 000003E7
04100000 122D97CE 000003E7
04100000 122D97D0 000003E7
04100000 122D97D2 000003E7
04100000 122D97D4 000003E7
04100000 122D97D6 000003E7
04100000 122D97D8 000003E7
04100000 122D97DA 000003E7
04100000 122D97DC 000003E7
04100000 122D97DE 000003E7
04100000 122D97E0 000003E7
04100000 122D97E2 000003E7
04100000 122D97E4 000003E7
04100000 122D97E6 000003E7
04100000 122D97E8 000003E7
04100000 122D97EA 000003E7
04100000 122D97EC 000003E7
04100000 122D97EE 000003E7
04100000 122D97F0 000003E7
04100000 122D97F2 000003E7
